,model_name,global_epoch,models_percentage,MIN_NUM_WORKERS,local_epoch,batch_size,learning_rate,best_epoch,best_f1,best_acc,best_prec,best_recall,best_loss,best_f1_test,best_acc_test,best_recall_test,best_precision_test,best_round_test,total_duration,dataframe_path,model_path
236,ResNet50,10.0,0.5,8.0,1.0,16.0,1e-05,9.0,0.9323717948717948,0.9619565217391304,0.8995535714285714,0.984375,0.124347226522134,0.0,0.4722222222222222,0.0,0.0,0.0,25234.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012238_federated_metrics.csv,
237,RexNet,15.0,0.5,8.0,1.0,32.0,1e-05,6.0,0.4010207811194653,0.5489130434782609,0.5096726190476191,0.342775974025974,0.7595743089914322,0.5042016806722689,0.4537037037037037,0.4838709677419355,0.5263157894736842,9.0,10911.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012306_federated_metrics.csv,
238,RexNet,15.0,0.5,8.0,1.0,16.0,1e-06,1.0,0.4340645089774346,0.532608695652174,0.6101190476190477,0.3403138528138529,0.7171261044947999,0.1818181818181818,0.5,0.6666666666666666,0.1052631578947368,0.0,2749.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012326_federated_metrics.csv,
239,RexNet,15.0,0.5,8.0,1.0,32.0,1e-06,2.0,0.411256622214103,0.5163043478260869,0.5505952380952381,0.3362424136321195,0.7771615236997604,0.56,0.4907407407407407,0.5147058823529411,0.6140350877192983,0.0,4180.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0108\08012351_federated_metrics.csv,
240,ResNext50,10.0,0.5,8.0,1.0,32.0,1e-06,9.0,0.5729872482589874,0.5543478260869564,0.9821428571428572,0.4054840686274509,0.6827654764056206,0.6871165644171779,0.5277777777777778,0.5283018867924528,0.9824561403508772,9.0,23939.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020040_federated_metrics.csv,
241,RexNet,15.0,1.0,8.0,1.0,16.0,1e-05,14.0,0.4610552115583075,0.6413043478260868,0.5416666666666666,0.4221906565656566,0.6490513384342195,0.3209876543209876,0.4907407407407407,0.5416666666666666,0.2280701754385964,1.0,14463.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020049_federated_metrics.csv,
242,ResNet50,10.0,0.5,8.0,1.0,32.0,1e-05,9.0,0.8920246420246422,0.9402173913043476,0.8095238095238095,1.0,0.156841873191297,0.0655737704918032,0.4722222222222222,0.5,0.0350877192982456,0.0,24146.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020054_federated_metrics.csv,
243,RexNet,15.0,1.0,8.0,1.0,32.0,1e-05,10.0,0.509410558481766,0.6304347826086956,0.6488095238095237,0.4300459956709956,0.6538861654698849,0.208955223880597,0.5092592592592593,0.7,0.1228070175438596,0.0,15326.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020148_federated_metrics.csv,
244,RexNet,15.0,1.0,8.0,1.0,16.0,1e-06,3.0,0.3611605874233751,0.4510869565217391,0.5066964285714286,0.2910539215686274,0.848314400114443,0.3555555555555555,0.4629629629629629,0.4848484848484848,0.2807017543859649,0.0,5953.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020224_federated_metrics.csv,
245,RexNet,15.0,1.0,8.0,1.0,32.0,1e-06,0.0,0.4326934226988069,0.5217391304347826,0.5930059523809523,0.3561481002657473,0.7912508919835091,0.3076923076923077,0.4166666666666667,0.4117647058823529,0.2456140350877192,0.0,4865.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020256_federated_metrics.csv,
246,ResNet50,10.0,0.5,8.0,1.0,16.0,1e-06,9.0,0.6223484848484848,0.8315217391304347,0.4665178571428572,0.9583333333333334,0.4539487771689891,0.2933333333333333,0.5092592592592593,0.6111111111111112,0.1929824561403508,3.0,23375.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020305_federated_metrics.csv,
247,ResNext50,10.0,1.0,8.0,1.0,16.0,1e-05,8.0,0.9641025641025642,0.9782608695652174,0.9486607142857144,0.984375,0.0696409054773697,0.697986577181208,0.5833333333333334,0.5652173913043478,0.912280701754386,8.0,31774.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020338_federated_metrics.csv,
248,RexNet,15.0,0.5,8.0,2.0,16.0,1e-05,12.0,0.4924936174936175,0.6956521739130435,0.4925595238095237,0.5109126984126984,0.6294339085402696,0.419047619047619,0.4351851851851852,0.4583333333333333,0.3859649122807017,13.0,12906.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020347_federated_metrics.csv,
249,RexNet,15.0,0.5,8.0,2.0,32.0,1e-05,11.0,0.4644483805668016,0.6195652173913042,0.546875,0.4206123737373737,0.6916128396987915,0.2093023255813953,0.3703703703703703,0.3103448275862069,0.1578947368421052,0.0,13724.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020441_federated_metrics.csv,
250,RexNet,15.0,0.5,8.0,2.0,16.0,1e-06,1.0,0.4085244863495637,0.5380434782608696,0.5498511904761905,0.3373883061383061,0.8079240283240443,0.591304347826087,0.5648148148148148,0.5862068965517241,0.5964912280701754,2.0,1954.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020500_federated_metrics.csv,
251,ResNet50,10.0,0.5,8.0,1.0,32.0,1e-06,9.0,0.493695652173913,0.4891304347826087,0.8221726190476191,0.3553513071895424,0.7150989919900894,0.7034482758620689,0.6018518518518519,0.5795454545454546,0.8947368421052632,9.0,24042.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020519_federated_metrics.csv,
252,RexNet,15.0,0.5,8.0,2.0,32.0,1e-06,12.0,0.427532372598162,0.576086956521739,0.515625,0.3778655372405372,0.7668059095740318,0.4680851063829787,0.5370370370370371,0.5945945945945946,0.3859649122807017,0.0,13719.0,C:\Users\DaisLabTSB\Desktop\Federated-Learning-Thesis\csv\0208\08020553_federated_metrics.csv,
